p_hex8,d_hex8,ride_count
883c0299e1fffff,883c029917fffff,19
883c0299a9fffff,883c0299e7fffff,19
883c02992bfffff,883c029901fffff,19
883c0299bdfffff,883c02d699fffff,19
883c0299e1fffff,883c029915fffff,19
883c029933fffff,883c029915fffff,19
883cf13b21fffff,883cf13963fffff,19
883c0299e9fffff,883c0299a9fffff,19
883c0299edfffff,883c02991bfffff,19
883cf13b0bfffff,883cf13b21fffff,19
883c029935fffff,883c029903fffff,19
883cf13b25fffff,883cf10eb3fffff,19
883c029903fffff,883c029867fffff,19
883c029967fffff,883c02992dfffff,19
883c02995bfffff,883c029957fffff,19
883c02995bfffff,883c029821fffff,19
883cf13963fffff,883cf13b27fffff,19
883cf13b21fffff,883cf13b45fffff,19
883c029939fffff,883c02d6c9fffff,19
883c029939fffff,883c0299e7fffff,19
883c029911fffff,883c029915fffff,19
883c029965fffff,883c02992dfffff,19
883c029937fffff,883c02993dfffff,19
883cf13b03fffff,883cf10ca3fffff,19
883c029989fffff,883c0299c3fffff,19
883c029913fffff,883c029915fffff,19
883cf13b03fffff,883cf13949fffff,19
883c02993bfffff,883c029915fffff,19
883c02d6d9fffff,883c02d6d3fffff,19
883c02d6dbfffff,883c029939fffff,19
883cf13905fffff,883cf10c93fffff,19
883cf105b7fffff,883cf1059dfffff,19
883cf17655fffff,883cf1394dfffff,19
883c02d6d9fffff,883c0299e1fffff,19
883cf17657fffff,883cf10c97fffff,19
883cf10c93fffff,883cf13b25fffff,19
883c02994bfffff,883c029951fffff,19
883c029907fffff,883c02d65bfffff,19
883c02994bfffff,883c029939fffff,19
883c029941fffff,883c029903fffff,19
883c02993dfffff,883c0299ebfffff,19
883cf17651fffff,883cf1394dfffff,19
883c029939fffff,883c0299e9fffff,19
883cf10581fffff,883cf13b03fffff,19
883c02d6d3fffff,883c02d6d1fffff,19
883c029939fffff,883c0299e5fffff,19
883c029939fffff,883c0299cdfffff,19
883c02993bfffff,883c02990bfffff,19
883c02d6e3fffff,883c02d6c7fffff,19
883cf17649fffff,883cf10c93fffff,18
883c029951fffff,883c02990bfffff,18
883cf10595fffff,883cf13b03fffff,18
883c029951fffff,883c029935fffff,18
883c029951fffff,883c02991dfffff,18
883cf10cb5fffff,883cf17619fffff,18
883cf10cb5fffff,883cf13b25fffff,18
883c029951fffff,883c02993bfffff,18
883cf10cd1fffff,883cf13b03fffff,18
883c02993dfffff,883c029917fffff,18
883cf13945fffff,883cf13b27fffff,18
883c029905fffff,883c029903fffff,18
883c029955fffff,883c02991dfffff,18
883c029955fffff,883c02995dfffff,18
883c02d6d3fffff,883c02d6d9fffff,18
883cf1394dfffff,883cf10cbdfffff,18
883c029953fffff,883c029935fffff,18
883c029953fffff,883c029957fffff,18
883c02d6d9fffff,883c02d6c3fffff,18
883c02990dfffff,883c02993dfffff,18
883c029953fffff,883c029865fffff,18
883c02993bfffff,883c0299ebfffff,18
883c029939fffff,883c02d6c3fffff,18
883c02993bfffff,883c029911fffff,18
883c02d6d7fffff,883c0299a9fffff,18
883c029919fffff,883c02991dfffff,18
883c02994bfffff,883c02990bfffff,18
883cf10c9dfffff,883cf13b25fffff,18
883cf10c93fffff,883cf10ca3fffff,18
883c029907fffff,883c02d6c1fffff,18
883cf10ca7fffff,883cf17651fffff,18
883c029943fffff,883c029903fffff,18
883c029941fffff,883c029939fffff,18
883c029957fffff,883c0299a9fffff,18
883c02d6c1fffff,883c02d6c7fffff,18
883c02d6c1fffff,883c02993dfffff,18
883c029863fffff,883c029953fffff,18
883c02995dfffff,883c029951fffff,18
883c029903fffff,883c0299e1fffff,18
883c029963fffff,883c029907fffff,18
883cf13965fffff,883cf10cbdfffff,18
883c029911fffff,883c029939fffff,18
883c029903fffff,883c029935fffff,18
883cf13969fffff,883cf10cbdfffff,18
883c029913fffff,883c0299c9fffff,18
883c0299edfffff,883c02993dfffff,18
883c029939fffff,883c029913fffff,18
883cf13969fffff,883cf13b25fffff,18
883cf13969fffff,883cf13b27fffff,18
883c029939fffff,883c029863fffff,18
883c029989fffff,883c029903fffff,18
883c029981fffff,883c0299c5fffff,18
883c0299e9fffff,883c02993bfffff,18
883c029903fffff,883c029913fffff,18
883c029933fffff,883c0299e1fffff,18
883c029933fffff,883c029951fffff,18
883c029903fffff,883c029941fffff,18
883c029933fffff,883c02d6cbfffff,18
883cf13b25fffff,883cf17609fffff,18
883cf13b25fffff,883cf13b39fffff,18
883cf13b25fffff,883cf10ce1fffff,18
883c029915fffff,883c02991bfffff,18
883c029923fffff,883c02993dfffff,18
883c029927fffff,883c029939fffff,18
