Pickup Area,"Popular Pickup Lat,Lon",Destination,"Popular Destination Lat, Lon",OSRM_distance_km_car,OSRM_distance_km_bike,diff_car,diff_bike
Abul Hotel,"23.754778817124492, 90.41540918143296",Buriganga Bridge,"23.70898069854497, 90.40159267958012",8.7,8.7,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Chairman Bari,"23.788615672371655, 90.40060816109144",6.91,6.91,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Chandni Chawk Market,"23.733968595123564, 90.38483127181993",7.12,7.13,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Curzon Hall,"23.72754625142948, 90.40189379492435",5.55,5.55,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Dhaka College,"23.735731619622754, 90.38374921026826",8.0,8.0,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Dhaka Medical College Hospital,"23.72582638915726, 90.39742002088578",6.0,6.0,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Dhaka University,"23.73409560015957, 90.39294665259638",6.35,6.35,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Dhakeshwari Temple,"23.723505780259483, 90.39006818516404",7.4,7.4,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Dhanmondi  Road 13,"23.7534501255474, 90.37614999961175",5.8,5.8,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Dhanmondi  Road 13A,"23.749643437271462, 90.36993975614091",7.38,7.38,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Dhanmondi Lake,"23.747590981285224, 90.37807190540613",7.05,7.05,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Dhanmondi Road 12,"23.752334369903934, 90.3759494331688",5.76,5.76,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Dhanmondi Road 12A,"23.74689134102291, 90.37733359846021",6.95,6.95,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Dhanmondi Road 14,"23.754456430984828, 90.37560027637075",5.92,5.92,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Dhanmondi Road 14A,"23.750198566679202, 90.36920123869305",7.26,7.26,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Dhanmondi Road 15,"23.75514495125052, 90.37519521715127",6.03,6.03,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Dhanmondi Road 15A,"23.7523255680022, 90.37084019234493",6.93,6.93,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Dhanmondi Road 16,"23.755538568281132, 90.37390856255229",6.23,6.23,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Dhanmondi Road 2,"23.739141333933283, 90.38122386493468",6.91,6.91,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Dhanmondi Road 1,"23.738720578214433, 90.38240235737894",7.15,7.15,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Dhanmondi Road 3,"23.739812239033704, 90.37920861477238",6.24,6.24,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Dhanmondi Road 3A,"23.74022477236035, 90.37627927191252",7.75,7.75,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Dhanmondi Road 4,"23.741346481708497, 90.38134467810198",6.03,6.03,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Dhanmondi Road 4A,"23.741165859122525, 90.37563143647237",8.49,8.49,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Dhanmondi Road 5,"23.742494162158316, 90.38167325780455",5.98,5.98,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Dhanmondi Road 5A,"23.74186200111996, 90.37533568551056",8.41,8.41,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Dhanmondi Road 6,"23.743570598059737, 90.38166461098089",5.53,5.53,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Dhanmondi Road 6A,"23.743988360857468, 90.37640997726535",6.93,6.93,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Dhanmondi Road 7,"23.744607450679176, 90.38152626163901",5.64,5.64,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Dhanmondi Road 7A,"23.743207063518906, 90.37289655055329",8.27,8.27,,
