p_hex8,d_hex8,ride_count
883cf13b15fffff,883cf13959fffff,23
883cf10cb7fffff,883cf13945fffff,23
883cf10e95fffff,883cf13b25fffff,23
883cf13b25fffff,883cf10c9dfffff,23
883cf13965fffff,883cf13b03fffff,23
883cf10ca3fffff,883cf13b25fffff,23
883cf1765dfffff,883cf17649fffff,23
883cf105b7fffff,883cf10cc5fffff,23
883cf105b7fffff,883cf10ca5fffff,23
883cf13961fffff,883cf1760bfffff,23
883cf10ca3fffff,883cf10c99fffff,23
883cf13b21fffff,883cf10e9dfffff,23
883cf17651fffff,883cf13b23fffff,23
883cf10ca3fffff,883cf13965fffff,23
883cf1765dfffff,883cf10ca3fffff,23
883cf1765dfffff,883cf10c99fffff,23
883cf13b25fffff,883cf10e99fffff,23
883cf10c9dfffff,883cf10ca9fffff,23
883cf10ebdfffff,883cf13b25fffff,23
883cf13969fffff,883cf10ca7fffff,23
883cf10c9dfffff,883cf10cbdfffff,23
883cf17657fffff,883cf13b25fffff,23
883cf105b7fffff,883cf105b7fffff,23
883cf10cc7fffff,883cf13b25fffff,23
883cf13b27fffff,883cf17655fffff,23
883cf13b21fffff,883cf10ca3fffff,23
883cf10c93fffff,883cf1765dfffff,23
883cf10ce1fffff,883cf10c91fffff,23
883cf13949fffff,883cf10c91fffff,23
883cf10cb5fffff,883cf10c97fffff,23
883cf105b7fffff,883cf1394dfffff,23
883cf13965fffff,883cf13b07fffff,23
883cf13b39fffff,883cf10c9bfffff,23
883cf10c9dfffff,883cf17655fffff,23
883cf13963fffff,883cf17655fffff,23
883cf13965fffff,883cf17649fffff,23
883cf1394dfffff,883cf10c93fffff,23
883cf10ca3fffff,883cf17609fffff,23
883cf17651fffff,883cf17649fffff,23
883cf10ce1fffff,883cf10c89fffff,23
883cf13b25fffff,883cf13b1dfffff,23
883cf13b21fffff,883cf10ebdfffff,23
883cf10cbdfffff,883cf13961fffff,23
883cf1058bfffff,883cf105b7fffff,23
883cf13b25fffff,883cf13b01fffff,23
